canal,iso3,delay_USD_piracy,lost_USD_piracy,revenue_USD_piracy,reroute_USD_piracy,war_premium_USD_piracy,shipping_price_USD_piracy,total_loss_USD_piracy,delay_USD_geopolitical,lost_USD_geopolitical,revenue_USD_geopolitical,reroute_USD_geopolitical,war_premium_USD_geopolitical,shipping_price_USD_geopolitical,total_loss_USD_geopolitical,delay_USD_blockage,lost_USD_blockage,revenue_USD_blockage,reroute_USD_blockage,war_premium_USD_blockage,shipping_price_USD_blockage,total_loss_USD_blockage,delay_USD_drought,lost_USD_drought,revenue_USD_drought,reroute_USD_drought,war_premium_USD_drought,shipping_price_USD_drought,total_loss_USD_drought,delay_USD_EQ,lost_USD_EQ,revenue_USD_EQ,reroute_USD_EQ,war_premium_USD_EQ,shipping_price_USD_EQ,total_loss_USD_EQ,delay_USD_TC,lost_USD_TC,revenue_USD_TC,reroute_USD_TC,war_premium_USD_TC,shipping_price_USD_TC,total_loss_USD_TC,delay_USD_terrorist,lost_USD_terrorist,revenue_USD_terrorist,reroute_USD_terrorist,war_premium_USD_terrorist,shipping_price_USD_terrorist,total_loss_USD_terrorist,delay_USD_conflict,lost_USD_conflict,revenue_USD_conflict,reroute_USD_conflict,war_premium_USD_conflict,shipping_price_USD_conflict,total_loss_USD_conflict,total_loss_USD,total_delay_USD,total_rerouting_USD,total_lost_USD,total_revenue_USD,total_war_premium_USD,total_shipping_price_USD
Panama Canal,USA,1.8098549618173598,194907.45742648488,2923611861.3972735,2762200653.2133603,1524454756.3000069,4143300979.8200407,11353763159.997963,4.309178480517522,994425.8031963514,14916387047.94527,14092860475.578363,9074135454.166708,21139290713.367546,59223668121.170265,9.049274809086798,208829.4186712338,3132441280.0685067,2959500699.871456,15244547563.000069,4439251049.807184,25775949431.215164,0.29862606869986436,574280.9013458929,8614213520.188396,8138626924.646506,125767517.39475057,12207940386.969759,29087122630.399384,1.4478839694538876,4065212.683466685,60978190252.000275,57611613624.16436,609781902.5200027,86417420436.24654,205621071429.06253,28.957679389077757,668254.1397479482,10023812096.219223,9470402239.58866,12195638050.400055,14205603359.382988,45896124028.688354,1.4478839694538879,111375.68995799137,1670635349.3698707,1578400373.2647772,1829345707.5600085,2367600559.897166,7446093367.229664,2.0684056706484113,159108.12851141623,2386621927.671243,2254857676.0925384,6968936028.800031,3382286514.1388073,14992861256.899538,399396653424.6629,49.38878731875549,98868462666.42001,6976394.222324003,104645913334.86008,47572606980.14163,148302693999.63
Gibraltar Strait,USA,,0.0,0.0,0.0,,0.0,0.0,0.5125669729732739,384425.2297299555,5766378445.949333,1568042367.2816262,3507880221.285845,2352063550.9224396,13194749011.181541,1.0251339459465478,76885.0459459911,1153275689.1898665,313608473.45632523,5612608354.057351,470412710.1844878,7549982112.95911,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5125669729732739,38442.52297299555,576637844.5949333,156804236.72816262,701576044.2571689,235206355.0922439,1670262923.7080486,0.10251339459465482,25628.348648663698,384425229.72995555,104536157.81877507,420945626.5543014,156804236.72816262,1066736879.2823567,0.14644770656379258,36611.926640948135,549178899.614222,149337368.31253582,1603602386.8735287,224006052.46880373,2526161319.3421793,26007892246.473236,2.299228993051543,2292328603.597425,561993.073938554,8429896109.078312,11846612633.028196,3438492905.3961377
Suez Canal,USA,0.22753380282148675,35394.1471055646,530912206.58346903,296630918.9558682,276832793.4328088,444946378.43380225,1549357691.7805877,1.1376690141074335,467708.37246638944,7015625586.99584,3919765714.7739716,3460409917.91011,5879648572.160957,20275917501.351013,1.1376690141074337,37922.30047024779,568834507.0537168,317818841.73843014,2768327934.3280888,476728262.6076452,4131747469.16602,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.19889318428451638,6629.7728094838785,99446592.14225815,55562734.56965561,120993353.77308077,83344101.85448343,359353412.31118065,0.36699000455078506,40776.667172309455,611650007.5846417,341740690.04132277,669756758.3051827,512611035.0619842,2135799268.0272937,0.45506760564297355,50563.06729366372,758446009.4049557,423758455.6512403,2214662347.462471,635637683.4768604,4032555059.5178885,32484730402.15398,3.5238226255146294,5355277355.730489,638994.3273176589,9584914909.764881,9510983105.211742,8032916033.595733
Strait of Malacca,CHN,4.031588445754145,564422.3824055803,8466335736.083704,6057579849.212566,4414589348.100788,9086369773.81885,28025439133.629898,6.2024437626986835,1860733.128809605,27910996932.14407,19970043458.942528,16979189800.387646,29955065188.41379,94817156119.21928,8.06317689150829,241895.30674524864,3628429601.1787295,2596105649.6625285,17658357392.403152,3894158474.4937925,27777293021.108128,,0.0,0.0,0.0,,0.0,0.0,2.3037648261452257,8408741.615430072,126131124231.45108,90245577345.41171,1261311242.3145108,135368366018.11757,353014787581.21405,32.25270756603316,967581.2269809946,14513718404.714918,10384422598.650114,17658357392.403152,15576633897.97517,58134099907.22304,1.5358432174301504,153584.32174301503,2303764826.145225,1648321047.4047801,2522622484.6290216,2472481571.10717,8947343515.143784,3.071686434860301,307168.64348603005,4607529652.29045,3296642094.8095603,13453986584.688116,4944963142.21434,26303428645.71764,597019547923.2559,57.46121114442995,134198692044.0938,12504126.625600547,187561899384.00815,73948414244.92639,201298038066.1407
South China Sea,CHN,1.4493397009116498,253634.44765953874,3804516714.893081,2113514578.6241446,1983783715.6228209,3170271867.936217,11072340512.973263,7.24669850455825,2717511.939209344,40762679088.14016,22644799056.68726,24797296445.285263,33967198585.03089,122174690694.32947,6.522028654102424,244576.07452884092,3668641117.932614,2038031915.1018534,17854053440.60539,3057047872.65278,26618018928.88919,,0.0,0.0,0.0,,0.0,0.0,1.630507163525606,7439188.933585579,111587834003.78368,61990137417.68137,1115878340.0378368,92985206126.52206,267686495078.58905,20.067780474161303,752541.7677810489,11288126516.715733,6270867431.082625,13733887262.004145,9406301146.623938,40699934918.262,1.4907494066519826,186343.67583149782,2795155137.4724674,1552786221.0299835,3060694875.532352,2329179331.5449753,9738001910.746359,2.371646783309973,296455.84791374655,4446837718.706199,2470341715.2749743,12984766138.6221,3705512572.9124613,23607754603.735294,501597236647.52466,40.77875068722119,99080478335.48222,11890252.686509596,178353790297.64395,75530360217.7099,148620717503.22336
Taiwan Strait,CHN,0.474975752357753,132993.21066017085,1994898159.9025629,727460873.2607243,1040196897.6634793,1091191309.8910866,4853880234.403489,3.1665050157183527,1899903.009431012,28498545141.465176,10392298189.438915,17336614961.057983,15588447284.158373,71817805482.29639,3.1665050157183527,189990.30094310117,2849854514.1465178,1039229818.9438915,13869291968.84639,1558844728.4158373,19317411023.820084,,0.0,0.0,0.0,,0.0,0.0,0.6333010031436707,4623097.322948796,69346459844.23193,25287925594.30136,693464598.4423195,37931888391.45204,133264361526.38391,6.3330100314367055,379980.60188620235,5699709028.2930355,2078459637.887783,6934645984.423195,3117689456.8316746,17830884094.370583,0.6333010031436707,126660.20062873412,1899903009.4310122,692819879.2959278,2080393795.3269582,1039229818.9438916,5712473163.831719,0.949951504715506,189990.3009431012,2849854514.146518,1039229818.9438915,8321575181.307835,1558844728.4158373,13769694234.064976,266566509759.17114,15.357549326234013,41257423812.072495,7542614.947441118,113139224211.61674,50276183387.06816,61886135718.10875
Suez Canal,CHN,0.511348242054683,79543.05987517293,1193145898.1275938,674700969.6590424,622140361.1665311,1012051454.4885635,3502118227.012954,2.556741210273415,1051104.7197790707,15766570796.68606,8915691384.780201,7776754514.581638,13373537077.170301,45833604880.49472,2.5567412102734153,85224.70700911384,1278370605.1367078,722893896.0632596,6221403611.665311,1084340844.0948894,9307094184.223917,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.44698272906877884,14899.424302292624,223491364.5343894,126380051.75931108,271914493.51684046,189570077.63896662,811370887.3207927,0.8247552291204564,91639.46990227295,1374592048.5340943,777305264.58415,1505178293.144833,1165957896.876225,4823125143.43396,1.0226964841093662,113632.94267881848,1704494140.182277,963858528.0843463,4977122889.33225,1445787792.1265194,9091376983.690767,73368690306.17711,7.919265104900115,12180830094.930311,1436044.3235467416,21540664853.201126,21374514163.407402,18271245142.395466
Strait of Malacca,JPN,1.1208004968529626,156912.0695594148,2353681043.3912215,1469765388.449998,1227276544.0539942,2204648082.674997,7255527971.760571,1.7243084566968656,517292.5370090596,7759388055.135894,4845380401.483509,4720294400.207669,7268070602.225264,24593650753.313652,2.241600993705925,67248.02981117777,1008720447.1676663,629899452.1928562,4909106176.215977,944849178.2892842,7492642504.137196,,0.0,0.0,0.0,,0.0,0.0,0.6404574267731215,2337669.6077218936,35065044115.8284,21896504766.704052,350650441.158284,32844757150.056076,90159294143.995,8.9664039748237,268992.11924471107,4034881788.6706653,2519597808.771425,4909106176.215977,3779396713.157137,15243251487.900852,0.42697161784874765,42697.16178487477,640457426.7731216,399936160.1224484,701300882.316568,599904240.1836725,2341641406.984567,0.8539432356974953,85394.32356974954,1280914853.5462432,799872320.2448968,3740271372.3550296,1199808480.367345,7020952421.691028,154106960689.78287,15.974486202398818,32560956297.96918,3476205.848700881,52143087730.51321,20558005992.5235,48841434446.95377
South China Sea,JPN,0.336692930478106,58921.26283366855,883818942.5050284,473703991.01339144,460848448.59190756,710555986.5200871,2528986290.229941,1.6834646523905303,631299.2446464489,9469488669.696732,5075399903.714908,5760605607.398846,7613099855.572361,27919225337.310955,1.5151181871514772,56816.932018180385,852253980.2727058,456785991.3343415,4147636037.3271685,685178987.0015123,6141911814.382865,,0.0,0.0,0.0,,0.0,0.0,0.3787795467878693,1728181.6822196536,25922725233.294804,13893907236.41956,259227252.33294803,20840860854.62934,60918448758.73765,4.661902114312237,174821.32928670887,2622319939.300633,1405495357.9518204,3190489259.482437,2108243036.9277306,9326722419.65381,0.34631272849176625,43289.091061470775,649336365.9220616,348027421.9690222,711023320.6846573,522041132.9535333,2230471530.9666486,0.5509520680550827,68869.00850688532,1033035127.60328,553679989.4961718,3016462572.6015773,830519984.2442577,5433766543.504746,114499532694.7866,9.473222227667069,22206999891.89921,2762198.550573016,41432978258.595245,17546292498.41954,33310499837.848824
Taiwan Strait,JPN,0.1499144189573907,41976.0373080694,629640559.621041,201116813.1404623,328312577.5166857,301675219.7106935,1460787146.176105,0.9994294597159379,599657.6758295627,8994865137.443441,2873097330.578032,5471876291.944761,4309645995.867048,21650084414.508545,0.9994294597159379,59965.76758295627,899486513.7443441,287309733.0578032,4377501033.555809,430964599.58670485,5995321846.711674,,0.0,0.0,0.0,,0.0,0.0,0.19988589194318757,1459167.0111852696,21887505167.779045,6991203504.406547,218875051.67779043,10486805256.60982,39585848147.68427,1.9988589194318758,119931.53516591254,1798973027.4886882,574619466.1156064,2188750516.7779045,861929199.1734097,5424392143.089633,0.19988589194318757,39977.17838863751,599657675.8295628,191539822.03853548,656625155.0333713,287309733.0578032,1735172363.3375473,0.2998288379147814,59965.76758295628,899486513.7443444,287309733.0578033,2626500620.133486,430964599.5867049,4244321432.58975,80095927494.09753,4.8472328796222985,11406196402.39479,2380640.973043364,35709614595.65047,15868441246.639809,17109294603.592184
