iso3,canal,q,v,q_sea_predict,v_sea_predict,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD,likelihood_drought,timescale_drought,severity_drought,likelihood_EQ,timescale_EQ,severity_EQ,likelihood_conflict,timescale_conflict,severity_conflict,likelihood_terrorist,timescale_terrorist,severity_terrorist,likelihood_piracy,timescale_piracy,severity_piracy,likelihood_blockage,timescale_blockage,severity_blockage,likelihood_geopolitical,timescale_geopolitical,severity_geopolitical,likelihood_TC,timescale_TC,severity_TC,v_share,v_share_mar,trade_at_risk_piracy_v,trade_at_risk_geopolitical_v,trade_at_risk_blockage_v,trade_at_risk_drought_v,trade_at_risk_EQ_v,trade_at_risk_TC_v,trade_at_risk_terrorist_v,trade_at_risk_conflict_v,trade_at_risk_piracy_q,trade_at_risk_geopolitical_q,trade_at_risk_blockage_q,trade_at_risk_drought_q,trade_at_risk_EQ_q,trade_at_risk_TC_q,trade_at_risk_terrorist_q,trade_at_risk_conflict_q,revenue_at_risk_piracy,revenue_at_risk_geopolitical,revenue_at_risk_blockage,revenue_at_risk_drought,revenue_at_risk_EQ,revenue_at_risk_TC,revenue_at_risk_terrorist,revenue_at_risk_conflict,trade_impacted_piracy,trade_impacted_geopolitical,trade_impacted_blockage,trade_impacted_drought,trade_impacted_EQ,trade_impacted_TC,trade_impacted_terrorist,trade_impacted_conflict,trade_at_risk_v,trade_at_risk_q,revenue_at_risk,trade_impacted
USA,Panama Canal,11079156466.185453,53500.0,4280000000.0,4280.0,1107915646.6185453,1016.3031708666712,553957823.3092726,553957823.3092726,508.1515854333356,508.1515854333356,0.09999999999999999,1524454756300.0068,40.0,250.0,0.33,25.0,365.0,1.0,3.5,10,0.2,5.0,10,0.2,0.2,14,0.01,4.0,3,1,4.2,30,0.5,1.25,3,1,0.0189963209507789,0.23745401188473625,1.9490745742648488,9.944258031963514,2.088294186712338,5.742809013458929,40.652126834666845,6.682541397479481,1.1137568995799136,1.5910812851141622,2124769.7332410463,10840661.904291049,2276538.99990112,6260482.249728082,44316625.86474181,7284924.799683585,1214154.1332805976,1734505.904686568,2923611861.3972735,14916387047.94527,3132441280.0685067,8614213520.188396,60978190252.000275,10023812096.219223,1670635349.3698707,2386621927.671243,0.38981491485296976,41.765883734246756,8.353176746849352,229.7123605383572,1016.3031708666712,8.353176746849352,5.568784497899568,5.568784497899568,69.76394222324004,76052663.58955386,104645913334.86005,1316.0151525436258
USA,Gibraltar Strait,4769462200.481613,53500.0,4280000000.0,4280.0,476946220.04816127,467.7173628381125,238473110.02408063,238473110.02408063,233.85868141905624,233.85868141905624,0.09999999999999999,701576044257.1688,,0.0,,,0.0,,7.0,10,0.2,10.0,10,0.2,,14,0.01,5.0,3,1,5.0,30,0.5,10.0,3,1,0.008742380613796496,0.1092797576724562,,3.8442522972995548,0.7688504594599109,,,0.38442522972995546,0.25628348648663696,0.36611926640948134,,3920105.9182040654,784021.183640813,,,392010.5918204065,261340.39454693766,373343.4207813395,,5766378445.949333,1153275689.1898665,,,576637844.5949333,384425229.72995555,549178899.614222,0.1793984405406459,19.221261486497774,3.8442522972995543,,,3.8442522972995543,2.5628348648663697,2.5628348648663697,5.6199307393855396,5730821.508993562,8429896109.078311,32.21483425137026
USA,Suez Canal,2148219948.787537,53500.0,4280000000.0,4280.0,214821994.8787537,230.69399452734072,107410997.43937685,107410997.43937685,115.34699726367036,115.34699726367036,0.09999999999999999,346040991791.01105,,0.0,,,0.0,,2.5,10,0.2,3.1,10,0.2,0.25,14,0.01,5.0,3,1,2.2,37,0.44,28.6,3,1,0.004312037280884873,0.05390046601106092,0.35394147105564605,4.677083724663894,0.3792230047024779,,,0.06629772809483878,0.4077666717230945,0.5056306729366372,329589.9099509646,4355295.238637746,353132.04637603345,,,61736.371744061784,379711.87782369193,470842.72850137803,530912206.58346903,7015625586.99584,568834507.0537168,,,99446592.14225815,611650007.5846417,758446009.4049557,0.08848536776391151,10.289584194260566,1.8961150235123894,,,1.8961150235123894,1.264076682341593,1.264076682341593,6.389943273176589,5950308.173033876,9584914909.764881,16.698452973732444
CHN,Strait of Malacca,12634380828.35764,57200.0,4576000000.0,4576.0,1263438082.835764,1177.2238261602101,631719041.417882,631719041.417882,588.6119130801051,588.6119130801051,0.1,1765835739240.3152,,0.0,,14.0,365.0,1.0,2.1,10,0.2,4.2,10,0.2,0.08,14,0.01,4.0,3,1,2.6,30,0.5,1.0,3,1,0.020580836121681996,0.25726045152102495,5.6442238240558025,18.60733128809605,2.4189530674524864,,84.08741615430073,9.675812269809946,1.5358432174301502,3.0716864348603004,6057579.849212566,19970043.458942525,2596105.649662528,,90245577.3454117,10384422.598650113,1648321.04740478,3296642.09480956,8466335736.083704,27910996932.14407,3628429601.1787295,,126131124231.45108,14513718404.714918,2303764826.145225,4607529652.29045,0.4515379059244642,48.37906134904973,9.675812269809946,,1177.2238261602101,9.675812269809946,6.45054151320663,6.45054151320663,125.04126625600547,134198692.04409377,187561899384.00815,1258.3071329812176
CHN,South China Sea,12398027483.536274,57200.0,4576000000.0,4576.0,1239802748.3536274,1190.2702293736925,619901374.1768137,619901374.1768137,595.1351146868462,595.1351146868462,0.1,1785405344060.5388,,0.0,,16.0,365.0,1.0,2.2,10,0.2,3.5,10,0.2,0.18,14,0.01,4.0,3,1,1.8,30,0.5,1.3,3,1,0.020808920093945672,0.2601115011743209,2.5363444765953873,27.175119392093436,2.445760745288409,,74.39188933585578,7.525417677810489,1.8634367583149782,2.9645584791374655,2641893.2232801802,28305998.820859075,2547539.8938773163,,77487671.77210172,7838584.288853281,1940982.7762874793,3087927.1440937174,3804516714.893081,40762679088.14016,3668641117.932614,,111587834003.78368,11288126516.715733,2795155137.4724674,4446837718.706199,0.45654200578716975,48.91521490576818,9.783042981153637,,1190.2702293736925,9.783042981153637,6.522028654102424,6.522028654102424,118.90252686509595,123850597.91935277,178353790297.64392,1272.25212955576
CHN,Taiwan Strait,7586377678.290409,57200.0,4576000000.0,4576.0,758637767.8290409,693.4645984423194,379318883.91452044,379318883.91452044,346.7322992211597,346.7322992211597,0.09999999999999999,1040196897663.4791,,0.0,,15.0,365.0,1.0,2.0,10,0.2,3.0,10,0.2,0.2,14,0.01,3.0,3,1,1.5,30,0.5,1.5,3,1,0.012123506965774813,0.15154383707218516,1.3299321066017087,18.99903009431012,1.8999030094310116,,46.23097322948796,3.7998060188620233,1.266602006287341,1.8999030094310119,1454921.7465214485,20784596.37887783,2078459.6378877829,,50575851.18860272,4156919.2757755658,1385639.7585918554,2078459.637887783,1994898159.9025629,28498545141.465176,2849854514.1465178,,69346459844.23193,5699709028.2930355,1899903009.4310122,2849854514.146518,0.26598642132034167,28.49854514146518,5.699709028293035,,693.4645984423194,5.699709028293035,3.7998060188620237,3.7998060188620237,75.42614947441118,82514847.62414499,113139224211.61674,741.2281600994149
CHN,Suez Canal,4886227260.4275875,57200.0,4576000000.0,4576.0,488622726.04275876,518.4503009721092,244311363.02137938,244311363.02137938,259.2251504860546,259.2251504860546,0.1,777675451458.1638,,0.0,,,0.0,,2.5,10,0.2,3.1,10,0.2,0.25,14,0.01,5.0,3,1,2.2,37,0.44,28.6,3,1,0.00906381645056135,0.11329770563201687,0.7954305987517292,10.511047197790706,0.8522470700911384,,,0.14899424302292624,0.9163946990227294,1.1363294267881847,749667.7440656025,9906323.76086689,803215.4400702884,,,140422.27973256787,863672.516204611,1070953.920093718,1193145898.1275938,15766570796.68606,1278370605.1367078,,,223491364.5343894,1374592048.5340943,1704494140.182277,0.1988576496879323,23.124303835139553,4.261235350455691,,,4.261235350455691,2.840823566970461,2.840823566970461,14.360443235467415,13534255.661033679,21540664853.201126,37.52727931967979
JPN,Strait of Malacca,3065510667.338567,15000.0,1200000000.0,1200.0,306551066.7338567,327.2737450810651,153275533.36692834,153275533.36692834,163.63687254053255,163.63687254053255,0.1,490910617621.59766,,0.0,,14.0,365.0,1.0,2.1,10,0.2,4.2,10,0.2,0.08,14,0.01,4.0,3,1,2.6,30,0.5,1.0,3,1,0.021818249672071008,0.2727281209008876,1.569120695594148,5.172925370090597,0.6724802981117776,,23.376696077218934,2.6899211924471103,0.42697161784874765,0.8539432356974953,1469765.3884499979,4845380.401483509,629899.4521928561,,21896504.76670405,2519597.8087714245,399936.16012244835,799872.3202448967,2353681043.3912215,7759388055.135894,1008720447.1676663,,35065044115.8284,4034881788.6706653,640457426.7731216,1280914853.5462432,0.12552965564753182,13.449605962235552,2.6899211924471103,,327.2737450810651,2.6899211924471103,1.7932807949647402,1.7932807949647402,34.76205848700881,32560956.297969177,52143087730.51321,349.8152846737719
JPN,South China Sea,2778781447.2839117,15000.0,1200000000.0,1200.0,277878144.7283912,276.5090691551446,138939072.3641956,138939072.3641956,138.2545345775723,138.2545345775723,0.1,414763603732.71686,,0.0,,16.0,365.0,1.0,2.2,10,0.2,3.5,10,0.2,0.18,14,0.01,4.0,3,1,1.8,30,0.5,1.3,3,1,0.018433937943676305,0.2304242242959538,0.5892126283366855,6.312992446464488,0.5681693201818039,,17.281816822196536,1.7482132928670886,0.43289091061470775,0.6886900850688532,592129.9887667393,6344249.879643634,570982.489167927,,17367384.04552445,1756869.1974397753,435034.2774612777,692099.9868702147,883818942.5050284,9469488669.696732,852253980.2727058,,25922725233.294804,2622319939.300633,649336365.9220616,1033035127.60328,0.1060582731006034,11.363386403636078,2.2726772807272155,,276.5090691551446,2.2726772807272155,1.5151181871514772,1.5151181871514772,27.621985505730166,27758749.864874016,41432978258.595245,295.55410476763865
JPN,Taiwan Strait,2097361051.3219638,15000.0,1200000000.0,1200.0,209736105.13219637,218.87505167779042,104868052.56609818,104868052.56609818,109.43752583889521,109.43752583889521,0.09999999999999999,328312577516.68567,,0.0,,15.0,365.0,1.0,2.0,10,0.2,3.0,10,0.2,0.2,14,0.01,3.0,3,1,1.5,30,0.5,1.5,3,1,0.014591670111852695,0.18239587639815869,0.41976037308069397,5.996576758295627,0.5996576758295626,,14.591670111852695,1.1993153516591253,0.39977178388637513,0.5996576758295628,402233.6262809246,5746194.661156064,574619.4661156064,,13982407.00881309,1149238.9322312127,383079.64407707093,574619.4661156065,629640559.621041,8994865137.443441,899486513.7443441,,21887505167.779045,1798973027.4886882,599657675.8295628,899486513.7443444,0.08395207461613881,8.994865137443442,1.7989730274886881,,218.87505167779042,1.7989730274886881,1.1993153516591255,1.1993153516591255,23.806409730433643,22812392.804789573,35709614595.65047,233.95044564814563
